No.,Marca (Series),Codigo (Item No),Nombre del Producto,Ruta de Imagen
36,FULL ROM,FULLROM-DAP,FULL ROM Dual Adjustable Pulley,uploads/productos/FULLROM-DAP-01.jpg
37,Matrix,MATRIX-VERSA-BICEPS,Matrix Versa Biceps Curl (VS-S40),uploads/productos/MATRIX-VERSA-BICEPS-01.jpg
38,Matrix,MATRIX-VERSA-CHEST,Matrix Versa Chest Press (VS-S13),uploads/productos/MATRIX-VERSA-CHEST-01.jpg
39,Matrix,MATRIX-VERSA-LATPULL,Matrix Versa Lat Pulldown (VS-S33),uploads/productos/MATRIX-VERSA-LATPULL-01.jpg
40,Matrix,MATRIX-VERSA-ABDOMINAL,Matrix Versa Abdominal (VS-S53),uploads/productos/MATRIX-VERSA-ABDOMINAL-01.jpg
41,Matrix,MATRIX-VERSA-SHOULDER,Matrix Versa Shoulder Press (VS-S23),uploads/productos/MATRIX-VERSA-SHOULDER-01.jpg
42,Matrix,MATRIX-VERSA-TRICEPS,Matrix Versa Triceps Press (VS-S42),uploads/productos/MATRIX-VERSA-TRICEPS-01.jpg
43,Matrix,MATRIX-VERSA-LEGEXT,Matrix Versa Leg Extension (VS-S71),uploads/productos/MATRIX-VERSA-LEGEXT-01.jpg
44,Matrix,MATRIX-VERSA-LEGPRESS,Matrix Versa Leg Press (VS-S70),uploads/productos/MATRIX-VERSA-LEGPRESS-01.jpg
45,FULL ROM,FULLROM-LINEAR-LEG-PRESS,FULL ROM Linear Leg Press,uploads/productos/FULLROM-LINEAR-LEG-PRESS-01.jpg
46,FULL ROM,FULLROM-V-SQUAT,FULL ROM V-Squat,uploads/productos/FULLROM-V-SQUAT-01.jpg
47,FULL ROM,FULLROM-SISSY-SQUAT,FULL ROM Sissy Squat Bench,uploads/productos/FULLROM-SISSY-SQUAT-01.jpg
48,FULL ROM,RG5005,FULL ROM Frog Pump,uploads/productos/FULLROM-RG5005-01.jpg
49,FULL ROM,RG1039,FULL ROM Utility Bench,uploads/productos/FULLROM-RG1039-01.jpg
50,FULL ROM,RG5003,FULL ROM Belt Squat,uploads/productos/FULLROM-RG5003-01.jpg
51,Insight Fitness,RE8014,Insight Fitness Leg Extension,uploads/productos/INSIGHT-RE8014-01.jpg
52,Insight Fitness,RE8015,Insight Fitness Leg Curl,uploads/productos/INSIGHT-RE8015-01.jpg
53,Cybex,CYBEX-VR3-SEATED-LEG-CURL,Cybex VR3 Seated Leg Curl,uploads/productos/CYBEX-VR3-SEATED-LEG-CURL-01.jpg
